category,key,weight,norm_weight,text,type
POS_TRIGRAM,ADJ + NOUN + ADJ,0.0,0.0,< s >,retrieval
POS_TRIGRAM,NOUN + ADJ + NOUN,58.7836856842041,0.6166170811027686,s > ▁query,retrieval
POS_TRIGRAM,ADJ + NOUN + OTHER,87.00021553039551,0.9125970638156077,> ▁query :,retrieval
POS_TRIGRAM,NOUN + OTHER + ADJ,881.7073192596436,9.248753072570961,▁query : ▁Is▁throat▁cancer▁treatable,retrieval
POS_TRIGRAM,OTHER + ADJ + OTHER,894.5419273376465,9.383382918897231,: ▁Is▁throat▁cancer▁treatable ?,retrieval
POS_TRIGRAM,ADJ + OTHER + ADJ,866.3253974914551,9.087402936184393,▁Is▁throat▁cancer▁treatable ? <,retrieval
POS_TRIGRAM,OTHER + ADJ + NOUN,71.61829376220703,0.751246927429039,? < /s,retrieval
POS_TRIGRAM,ADJ + NOUN + NOUN,0.0,0.0,< /s >,retrieval
FUNCTIONAL_ROLE,SUBJECT,0.0,0.0,s,retrieval
FUNCTIONAL_ROLE,SUBJECT,58.7836856842041,0.6166170811027686,▁query,retrieval
FUNCTIONAL_ROLE,SUBJECT,0.0,0.0,/s,retrieval
FUNCTIONAL_ROLE,SUBJECT,0.0,0.0,>,retrieval
POS_BIGRAM,VERB + ADJ,4.869904053720988,4.44042885626979,Is throat,generation
POS_BIGRAM,ADJ + NOUN,1.0585989942719554,0.9652415056907984,throat cancer,generation
POS_BIGRAM,NOUN + NOUN,0.5986229046949515,0.5458305524521524,cancer treatable,generation
POS_BIGRAM,NOUN + OTHER,0.15069571730903764,0.13740591278056902,treatable ?,generation
POS_TRIGRAM,VERB + ADJ + NOUN,5.3329008128378055,4.86259408721943,Is throat cancer,generation
POS_TRIGRAM,ADJ + NOUN + NOUN,1.1942251398500892,1.0889068271933104,throat cancer treatable,generation
POS_TRIGRAM,NOUN + NOUN + OTHER,0.6136924764258552,0.5595711437302092,cancer treatable ?,generation
FUNCTIONAL_ROLE,OBJECT,0.4629967591168176,0.4221652309496402,cancer,generation
FUNCTIONAL_ROLE,OBJECT,0.13562614557813388,0.12366532150251214,treatable,generation
POS_BIGRAM,OTHER + VERB,7.292028934530543,4.601224967994468,What is,generation
POS_BIGRAM,VERB + ADJ,0.8653189232642358,0.5460108662141258,is throat,generation
POS_BIGRAM,ADJ + NOUN,0.5917152144156396,0.3733686252421215,throat cancer,generation
POS_BIGRAM,NOUN + OTHER,0.28184880802599666,0.17784484734387382,cancer ?,generation
POS_TRIGRAM,OTHER + VERB + ADJ,7.642159456352471,4.8221551526561255,What is throat,generation
POS_TRIGRAM,VERB + ADJ + NOUN,1.1069036158579473,0.6984493067945892,is throat cancer,generation
POS_TRIGRAM,ADJ + NOUN + OTHER,0.6319793298479248,0.39877503200553205,throat cancer ?,generation
FUNCTIONAL_ROLE,OBJECT,0.24158469259371143,0.1524384405804633,cancer,generation
POS_BIGRAM,ADP + DET,0.41724057164985073,3.450393963180196,As a,generation
POS_BIGRAM,DET + NOUN,0.025240079358526974,0.20872423097419965,a consumer,generation
POS_BIGRAM,NOUN + ADJ,0.037869476324601095,0.3131637270616459,consumer interested,generation
POS_BIGRAM,ADJ + ADP,0.0400698444496013,0.3313597928594998,interested in,generation
POS_BIGRAM,ADP + NOUN,0.0287862346688744,0.2380493582669269,in food,generation
POS_BIGRAM,NOUN + NOUN,0.028587016912829936,0.23640191602492228,food safety,generation
POS_BIGRAM,NOUN + OTHER,0.018793993344188645,0.15541796648015516,"safety ,",generation
POS_BIGRAM,OTHER + OTHER,0.02717938713706042,0.22476144381124757,", could",generation
POS_BIGRAM,OTHER + PRON,0.039324473843211666,0.32519590944219623,could you,generation
POS_BIGRAM,PRON + VERB,0.03146150388295285,0.26017264486304575,you elaborate,generation
POS_BIGRAM,VERB + ADP,0.05290447932723555,0.4374965151976498,elaborate on,generation
POS_BIGRAM,ADP + DET,0.0718670218316291,0.594308308271826,on the,generation
POS_BIGRAM,DET + NOUN,0.07758549230306631,0.6415975158271964,the guidelines,generation
POS_BIGRAM,NOUN + OTHER,0.1553276319905236,1.284490435855651,guidelines and,generation
POS_BIGRAM,OTHER + ADJ,0.24105523916471067,1.9934196205273884,and good,generation
POS_BIGRAM,ADJ + NOUN,0.31944273187755057,2.641649323060227,good manufacturing,generation
POS_BIGRAM,NOUN + NOUN,0.5824230220023545,4.816379364038793,manufacturing practices,generation
POS_BIGRAM,NOUN + OTHER,0.45138409414110575,3.7327457091278524,practices (,generation
POS_BIGRAM,OTHER + NOUN,0.24273923211286655,2.007345493266416,( GMP,generation
POS_BIGRAM,NOUN + OTHER,0.24273923211286655,2.007345493266416,GMP ),generation
POS_BIGRAM,OTHER + OTHER,0.2653267380582016,2.1941341218240553,) that,generation
POS_BIGRAM,OTHER + VERB,0.29681045352998897,2.454490446648338,that are,generation
POS_BIGRAM,VERB + ADP,0.1627855512893143,1.3461641116074603,are in,generation
POS_BIGRAM,ADP + NOUN,0.2618164215326756,2.1651053653427916,in place,generation
POS_BIGRAM,NOUN + ADP,0.2898193287549334,2.396676954004735,place for,generation
POS_BIGRAM,ADP + ADJ,0.15395910154648026,1.2731732977262407,for fresh,generation
POS_BIGRAM,ADJ + NOUN,0.10573126887310244,0.8743505704552816,fresh meat,generation
POS_BIGRAM,NOUN + OTHER,0.06299012792273787,0.5209003435719475,"meat ,",generation
POS_BIGRAM,OTHER + NOUN,0.10889984811298148,0.9005533115691339,", poultry",generation
POS_BIGRAM,NOUN + OTHER,0.1100592257467816,0.9101408489768507,"poultry ,",generation
POS_BIGRAM,OTHER + OTHER,0.3780527986613384,3.1263285090097654,", and",generation
POS_BIGRAM,OTHER + NOUN,0.6759922646095095,5.590155386237343,and game,generation
POS_BIGRAM,NOUN + OTHER,0.3896210864581484,3.221993104187104,"game ,",generation
POS_BIGRAM,OTHER + ADV,0.32168997478388583,2.660233022452543,", as",generation
POS_BIGRAM,ADV + ADV,0.5275593942480332,4.362681562664536,as well,generation
POS_BIGRAM,ADV + ADP,0.3991242508314962,3.300580047099323,well as,generation
POS_BIGRAM,ADP + ADP,0.25079602491618014,2.0739715865564903,as for,generation
POS_BIGRAM,ADP + ADJ,0.520860284689537,4.307282905990477,for frozen,generation
POS_BIGRAM,ADJ + NOUN,0.6297763080456239,5.2079699796262835,frozen fish,generation
POS_BIGRAM,NOUN + NOUN,0.48811447361532095,4.036489611840903,fish products,generation
POS_BIGRAM,NOUN + OTHER,0.2741996693461197,2.2675093174108296,"products ,",generation
POS_BIGRAM,OTHER + OTHER,0.21636331225607527,1.7892283665274307,", and",generation
POS_BIGRAM,OTHER + OTHER,0.26343364348433057,2.178479071636617,and how,generation
POS_BIGRAM,OTHER + DET,0.2874275434305909,2.3768979530995695,how these,generation
POS_BIGRAM,DET + NOUN,0.5345213057400713,4.420253474449955,these practices,generation
POS_BIGRAM,NOUN + VERB,0.6067543351911607,5.017588502955793,practices ensure,generation
POS_BIGRAM,VERB + DET,0.3684574100361728,3.0469789125510025,ensure the,generation
POS_BIGRAM,DET + NOUN,0.16548545105331675,1.3684910818972131,the safety,generation
POS_BIGRAM,NOUN + OTHER,0.1441782253593541,1.192289801624154,safety and,generation
POS_BIGRAM,OTHER + NOUN,0.17416223936914485,1.440244262337801,and quality,generation
POS_BIGRAM,NOUN + ADP,0.16680400148751706,1.379394907573426,quality of,generation
POS_BIGRAM,ADP + DET,0.11145248164174928,0.9216624555889612,of these,generation
POS_BIGRAM,DET + NOUN,0.09509830904363109,0.7864207215882975,these food,generation
POS_BIGRAM,NOUN + NOUN,0.10635096764657809,0.8794752037059161,food items,generation
POS_BIGRAM,NOUN + OTHER,0.07804416661223082,0.6453905483723037,items ?,generation
POS_TRIGRAM,ADP + DET + NOUN,0.4313485584330567,3.56706073946448,As a consumer,generation
POS_TRIGRAM,DET + NOUN + ADJ,0.04900156889992212,0.4052211817515618,a consumer interested,generation
POS_TRIGRAM,NOUN + ADJ + ADP,0.054177831232807255,0.4480265691437836,consumer interested in,generation
POS_TRIGRAM,ADJ + ADP + NOUN,0.05254772421026954,0.43454630904428904,interested in food,generation
POS_TRIGRAM,ADP + NOUN + NOUN,0.0448953718210361,0.3712647581070599,in food safety,generation
POS_TRIGRAM,NOUN + NOUN + OTHER,0.031271873104856886,0.25860448266494446,"food safety ,",generation
POS_TRIGRAM,NOUN + OTHER + OTHER,0.04328852428922211,0.35797684365138055,"safety , could",generation
POS_TRIGRAM,OTHER + OTHER + PRON,0.042009330035238615,0.3473984760822184,", could you",generation
POS_TRIGRAM,OTHER + PRON + VERB,0.05595603482798632,0.46273152203427115,could you elaborate,generation
POS_TRIGRAM,PRON + VERB + ADP,0.06773442222541375,0.5601335474686207,you elaborate on,generation
POS_TRIGRAM,VERB + ADP + DET,0.08849858281640377,0.731843920863901,elaborate on the,generation
POS_TRIGRAM,ADP + DET + NOUN,0.11385841064552721,0.9415584184327712,on the guidelines,generation
POS_TRIGRAM,DET + NOUN + OTHER,0.19092173547969182,1.5788378415219022,the guidelines and,generation
POS_TRIGRAM,NOUN + OTHER + ADJ,0.2830466279786088,2.340669730688334,guidelines and good,generation
POS_TRIGRAM,OTHER + ADJ + NOUN,0.43277897505417606,3.578889648754933,and good manufacturing,generation
POS_TRIGRAM,ADJ + NOUN + NOUN,0.7101420179904396,5.872558658871475,good manufacturing practices,generation
POS_TRIGRAM,NOUN + NOUN + OTHER,0.6431078300305711,5.318215737355397,manufacturing practices (,generation
POS_TRIGRAM,NOUN + OTHER + NOUN,0.6334385182257557,5.238254829077665,practices ( GMP,generation
POS_TRIGRAM,OTHER + NOUN + OTHER,0.3034240401410832,2.5091818665830203,( GMP ),generation
POS_TRIGRAM,NOUN + OTHER + OTHER,0.4473811621428515,3.699643241773867,GMP ) that,generation
POS_TRIGRAM,OTHER + OTHER + VERB,0.3574952615582056,2.956326819964942,) that are,generation
POS_TRIGRAM,OTHER + VERB + ADP,0.36742748131929925,3.038461860114911,that are in,generation
POS_TRIGRAM,VERB + ADP + NOUN,0.3539849450326796,2.9272980634836787,are in place,generation
POS_TRIGRAM,ADP + NOUN + ADP,0.36043635654424366,2.9806483674713085,in place for,generation
POS_TRIGRAM,NOUN + ADP + ADJ,0.34515849528984555,2.854307249602459,place for fresh,generation
POS_TRIGRAM,ADP + ADJ + NOUN,0.20435120388467054,1.6898935725837985,for fresh meat,generation
POS_TRIGRAM,ADJ + NOUN + OTHER,0.11832929445765002,0.9785306391696712,"fresh meat ,",generation
POS_TRIGRAM,NOUN + OTHER + NOUN,0.15929195045117178,1.317273586426692,"meat , poultry",generation
POS_TRIGRAM,OTHER + NOUN + OTHER,0.12265725133132918,1.0143209176912402,", poultry ,",generation
POS_TRIGRAM,NOUN + OTHER + OTHER,0.47435462118977234,3.92270175186451,"poultry , and",generation
POS_TRIGRAM,OTHER + OTHER + NOUN,0.6897496678278572,5.703922992359449,", and game",generation
POS_TRIGRAM,OTHER + NOUN + OTHER,0.7539164819011391,6.234554007074764,"and game ,",generation
POS_TRIGRAM,NOUN + OTHER + ADV,0.6333868439504046,5.237827505802226,"game , as",generation
POS_TRIGRAM,OTHER + ADV + ADV,0.6054836115396629,5.007080183501956,", as well",generation
POS_TRIGRAM,ADV + ADV + ADP,0.6428900083237524,5.316414448714445,as well as,generation
POS_TRIGRAM,ADV + ADP + ADP,0.5345896616719572,4.420818747605904,well as for,generation
POS_TRIGRAM,ADP + ADP + ADJ,0.6361908987652563,5.2610157920403875,as for frozen,generation
POS_TRIGRAM,ADP + ADJ + NOUN,0.7652417188860849,6.328208680132865,for frozen fish,generation
POS_TRIGRAM,ADJ + NOUN + NOUN,0.873509347464397,7.2235338173248,frozen fish products,generation
POS_TRIGRAM,NOUN + NOUN + OTHER,0.5185811035426676,4.288435091553217,"fish products ,",generation
POS_TRIGRAM,NOUN + OTHER + OTHER,0.46009635167484836,3.804792204225946,"products , and",generation
POS_TRIGRAM,OTHER + OTHER + OTHER,0.2939002734116772,2.430424551348931,", and how",generation
POS_TRIGRAM,OTHER + OTHER + DET,0.47332422575931954,3.914180839914686,and how these,generation
POS_TRIGRAM,OTHER + DET + NOUN,0.6120582668956731,5.061449659271454,how these practices,generation
POS_TRIGRAM,DET + NOUN + VERB,0.8166449174661498,6.753290271233863,these practices ensure,generation
POS_TRIGRAM,NOUN + VERB + DET,0.6930881335012551,5.731530618722887,practices ensure the,generation
POS_TRIGRAM,VERB + DET + NOUN,0.44760906277939516,3.701527878681121,ensure the safety,generation
POS_TRIGRAM,DET + NOUN + OTHER,0.2305120236694485,1.9062319173912485,the safety and,generation
POS_TRIGRAM,NOUN + OTHER + NOUN,0.2533138921123672,2.09479322846792,safety and quality,generation
POS_TRIGRAM,OTHER + NOUN + ADP,0.2318305741036488,1.9171357430674612,and quality of,generation
POS_TRIGRAM,NOUN + ADP + DET,0.2205881483947624,1.824165882432727,quality of these,generation
POS_TRIGRAM,ADP + DET + NOUN,0.15276664377813504,1.2633122023179577,of these food,generation
POS_TRIGRAM,DET + NOUN + NOUN,0.16013511455382345,1.3242461785652173,these food items,generation
POS_TRIGRAM,NOUN + NOUN + OTHER,0.11935832874861656,0.9870402951013001,food items ?,generation
FUNCTIONAL_ROLE,OBJECT,0.0419913888138981,0.3472501101609452,guidelines,generation
FUNCTIONAL_ROLE,OBJECT,0.19172373588946537,1.5854700282275445,manufacturing,generation
FUNCTIONAL_ROLE,VERB_PHRASE,0.18205442408464992,1.5055091199498123,GMP,generation
FUNCTIONAL_ROLE,OBJECT,0.24438143419654784,2.0209257741423876,fish,generation
FUNCTIONAL_ROLE,VERB_PHRASE,0.2437330394187731,2.015563837698515,products,generation
FUNCTIONAL_ROLE,PREP_PHRASE,0.32463072346508226,2.684551706171885,practices,generation
POS_BIGRAM,ADP + DET,0.6932417722437717,3.1178199930612194,As a,generation
POS_BIGRAM,DET + NOUN,0.06567669241294072,0.29537761987486516,a consumer,generation
POS_BIGRAM,NOUN + ADJ,0.07812485325850523,0.3513625969998376,consumer interested,generation
POS_BIGRAM,ADJ + ADP,0.053048441393580135,0.23858269625374046,interested in,generation
POS_BIGRAM,ADP + NOUN,0.04614272702654107,0.20752459332056433,in food,generation
POS_BIGRAM,NOUN + NOUN,0.057535331769682216,0.2587622599808464,food safety,generation
POS_BIGRAM,NOUN + OTHER,0.0405114050158446,0.1821980058942353,"safety ,",generation
POS_BIGRAM,OTHER + OTHER,0.02364503647910349,0.10634236196212288,", can",generation
POS_BIGRAM,OTHER + PRON,0.03208264484113103,0.14429008106682134,can you,generation
POS_BIGRAM,PRON + VERB,0.03492982401957705,0.15709512617778607,you elaborate,generation
POS_BIGRAM,VERB + ADP,0.07597198199517885,0.3416801668058797,elaborate on,generation
POS_BIGRAM,ADP + DET,0.10561642033238702,0.47500453678962823,on the,generation
POS_BIGRAM,DET + ADJ,0.1075044127471449,0.48349568768843776,the essential,generation
POS_BIGRAM,ADJ + NOUN,0.5956815354894828,2.679047736600384,essential control,generation
POS_BIGRAM,NOUN + VERB,0.8273836020303951,3.7211161237327604,control measures,generation
POS_BIGRAM,VERB + ADP,0.7243918027378698,3.2579156880229108,measures that,generation
POS_BIGRAM,ADP + NOUN,0.7611429816333275,3.4232022661209993,that food,generation
POS_BIGRAM,NOUN + NOUN,1.117903803665421,5.027716114258646,food establishments,generation
POS_BIGRAM,NOUN + OTHER,1.291745141824661,5.809558786518742,establishments should,generation
POS_BIGRAM,OTHER + VERB,0.88618504838976,3.9855726703813628,should implement,generation
POS_BIGRAM,VERB + OTHER,0.5661158017387256,2.5460773365345015,implement to,generation
POS_BIGRAM,OTHER + VERB,0.4048627980123185,1.8208500650558619,to manage,generation
POS_BIGRAM,VERB + ADJ,0.48155403282130105,2.16576503520558,manage foodborne,generation
POS_BIGRAM,ADJ + NOUN,0.7206652944831975,3.2411559046314395,foodborne illness,generation
POS_BIGRAM,NOUN + NOUN,0.6732359305970081,3.0278447267664426,illness risk,generation
POS_BIGRAM,NOUN + NOUN,0.4484241371349082,2.016764996150308,risk factors,generation
POS_BIGRAM,NOUN + OTHER,0.2740363736473828,1.2324648034673893,"factors ,",generation
POS_BIGRAM,OTHER + OTHER,0.3636102255126297,1.6353186956918273,", and",generation
POS_BIGRAM,OTHER + OTHER,0.5026797849977125,2.2607770427637615,and how,generation
POS_BIGRAM,OTHER + ADJ,0.4770036117985773,2.145299745591576,how regulatory,generation
POS_BIGRAM,ADJ + NOUN,0.5758823891701508,2.5900020721417065,regulatory authorities,generation
POS_BIGRAM,NOUN + ADP,0.4618268401063331,2.077042978462481,authorities assess,generation
POS_BIGRAM,ADP + DET,0.4775322704743344,2.147677361388509,assess these,generation
POS_BIGRAM,DET + NOUN,0.47512620516255405,2.1368562037000456,these measures,generation
POS_BIGRAM,NOUN + ADP,0.563275448000387,2.5333029884970264,measures during,generation
POS_BIGRAM,ADP + NOUN,0.725371148459742,3.2623202461352836,during inspections,generation
POS_BIGRAM,NOUN + OTHER,0.3810693727541767,1.7138403320255844,inspections ?,generation
POS_TRIGRAM,ADP + DET + NOUN,0.7416496408077081,3.33553194648495,As a consumer,generation
POS_TRIGRAM,DET + NOUN + ADJ,0.09539367710750948,0.42902826345097167,a consumer interested,generation
POS_TRIGRAM,NOUN + ADJ + ADP,0.10145630995751659,0.45629464967747146,consumer interested in,generation
POS_TRIGRAM,ADJ + ADP + NOUN,0.07585971172110985,0.3411752368966709,interested in food,generation
POS_TRIGRAM,ADP + NOUN + NOUN,0.08086678846869358,0.3636943126584803,in food safety,generation
POS_TRIGRAM,NOUN + NOUN + OTHER,0.0633226753433743,0.2847905465371657,"food safety ,",generation
POS_TRIGRAM,NOUN + OTHER + OTHER,0.058369097921256004,0.26251208130003884,"safety , can",generation
POS_TRIGRAM,OTHER + OTHER + PRON,0.037869988414823114,0.17031836762314065,", can you",generation
POS_TRIGRAM,OTHER + PRON + VERB,0.05278751692498846,0.2374092015835896,can you elaborate,generation
POS_TRIGRAM,PRON + VERB + ADP,0.09019693393089848,0.4056561724668975,you elaborate on,generation
POS_TRIGRAM,VERB + ADP + DET,0.12632129241624446,0.5681236573063965,elaborate on the,generation
POS_TRIGRAM,ADP + DET + ADJ,0.1627715226584663,0.7320567339775492,on the essential,generation
POS_TRIGRAM,DET + ADJ + NOUN,0.6460308459105484,2.905491227100901,the essential control,generation
POS_TRIGRAM,ADJ + NOUN + VERB,0.8845387043564744,3.9781683209206817,essential control measures,generation
POS_TRIGRAM,NOUN + VERB + ADP,1.2629182359012732,5.679911227435373,control measures that,generation
POS_TRIGRAM,VERB + ADP + NOUN,1.0500001505003191,4.722322850441296,measures that food,generation
POS_TRIGRAM,ADP + NOUN + NOUN,1.553438437536299,6.986511217961259,that food establishments,generation
POS_TRIGRAM,NOUN + NOUN + OTHER,1.6173534895871104,7.2739659489371284,food establishments should,generation
POS_TRIGRAM,NOUN + OTHER + VERB,1.6784805042927315,7.548881622221622,establishments should implement,generation
POS_TRIGRAM,OTHER + VERB + OTHER,1.065565487660415,4.792327171212984,should implement to,generation
POS_TRIGRAM,VERB + OTHER + VERB,0.7915981604803889,3.5601729007587424,implement to manage,generation
POS_TRIGRAM,OTHER + VERB + ADJ,0.6609344720919561,2.972519536037201,to manage foodborne,generation
POS_TRIGRAM,VERB + ADJ + NOUN,0.9461476532248609,4.255251468855681,manage foodborne illness,generation
POS_TRIGRAM,ADJ + NOUN + NOUN,0.9293076046766457,4.179514197747782,foodborne illness risk,generation
POS_TRIGRAM,NOUN + NOUN + NOUN,0.9130177575384681,4.106251429800408,illness risk factors,generation
POS_TRIGRAM,NOUN + NOUN + OTHER,0.48267868384083107,2.170823096583731,"risk factors ,",generation
POS_TRIGRAM,NOUN + OTHER + OTHER,0.6033920524540897,2.713725398725793,"factors , and",generation
POS_TRIGRAM,OTHER + OTHER + OTHER,0.5369343317036354,2.414835143197185,", and how",generation
POS_TRIGRAM,OTHER + OTHER + ADJ,0.8063592906052842,3.62656034084998,and how regulatory,generation
POS_TRIGRAM,OTHER + ADJ + NOUN,0.7492064953611564,3.3695185196470643,how regulatory authorities,generation
POS_TRIGRAM,ADJ + NOUN + ADP,0.7655063457139049,3.4428262765486997,regulatory authorities assess,generation
POS_TRIGRAM,NOUN + ADP + DET,0.7497351540369135,3.3718961354439974,authorities assess these,generation
POS_TRIGRAM,ADP + DET + NOUN,0.6647501617063081,2.9896804081070383,assess these measures,generation
POS_TRIGRAM,DET + NOUN + ADP,0.8511837619309675,3.8281561454785433,these measures during,generation
POS_TRIGRAM,NOUN + ADP + NOUN,0.9125890396917156,4.104323292853811,measures during inspections,generation
POS_TRIGRAM,ADP + NOUN + OTHER,0.7571269295225901,3.4051402738040824,during inspections ?,generation
FUNCTIONAL_ROLE,VERB_PHRASE,0.32560834776244935,1.464407162418386,food,generation
FUNCTIONAL_ROLE,OBJECT,0.7922954559029717,3.5633089518402605,establishments,generation
FUNCTIONAL_ROLE,OBJECT,0.20864231019344823,0.938358293116342,risk,generation
FUNCTIONAL_ROLE,OBJECT,0.23978182694145997,1.0784067030339657,factors,generation
