,qid,docno,rank,score,id,text
14,31_2,MARCO_4976184,5,0.6373072266578674,MARCO_4976184,Sign Up Treatment can include some combination of surgery radiation and chemotherapy However sometimes in the final stage of throat cancer itas too advanced to be cured so then treatment focuses on alleviating symptoms and making life as comfortable as possibleBest Answerign Up Treatment can include some combination of surgery radiation and chemotherapy However sometimes in the final stage of throat cancer itas too advanced to be cured so then treatment focuses on alleviating symptoms and making life as comfortable as possible
15,31_2,MARCO_8509630,6,0.636843740940094,MARCO_8509630,Throat cancers may be cured when detected early If the cancer has spread metastasized to surrounding tissues or lymph nodes in the neck about half of patients can be cured If the cancer has spread to parts of the body outside the head and neck the cancer is not curable Treatment is aimed at prolonging and improving quality of life
16,31_2,MARCO_8554833,7,0.6364796757698059,MARCO_8554833,Outlook Prognosis Throat cancers may be cured when detected early If the cancer has spread metastasized to surrounding tissues or lymph nodes in the neck about half of patients can be cured If the cancer has spread to parts of the body outside the head and neck the cancer is not curable
17,31_2,MARCO_4662511,8,0.6349677443504333,MARCO_4662511,Surgery for throat cancer Surgery is the preferred treatment for earlystage throat cancers The throat is comprised of the pharynx and the larynx For advanced stage or recurrent throat cancer we may combine surgery with other forms of treatment such as radiation therapy and chemotherapy These treatments may be used to shrink the tumor before surgery
18,31_2,MARCO_7672901,9,0.6308066844940186,MARCO_7672901,Early Stage Cancer of the Throat Early stage cancers of the throat are small localized and highly curable when treated with surgery andor radiation therapy Early stage disease includes stage I II and some stage III cancers Stage I cancer is no more than 2 centimeters in size about 1 inch and has not spread to lymph nodes in the area
19,31_2,MARCO_7672899,10,0.6125963926315308,MARCO_7672899,Treatment of throat cancer is multimodality in nature Because the throat is involved in talking swallowing and breathing the type of treatment is selected to minimized impact on these important functions
20,31_3,MARCO_7103363,1,0.5845628976821899,MARCO_7103363,Lung cancer also known as lung carcinoma is a malignant lung tumor characterized by uncontrolled cell growth in tissues of the lung This growth can spread beyond the lung by the process of metastasis into nearby tissue or other parts of the body Most cancers that start in the lung known as primary lung cancers are carcinomas The two main types are smallcell lung carcinoma and nonsmallcell lung carcinoma The most common symptoms are coughing weight loss shortness of breath and chest
21,31_3,CAR_6d9ed0c735dfc7b5e4c487b3582fa9e24adece7e,2,0.5787590742111206,CAR_6d9ed0c735dfc7b5e4c487b3582fa9e24adece7e, Lung cancer also known as lung carcinoma is a malignant lung tumor characterized by uncontrolled cell growth in tissues of the lung If left untreated this growth can spread beyond the lung by the process of metastasis into nearby tissue or other parts of the body Most cancers that start in the lung known as primary lung cancers are carcinomas The two main types are smallcell lung carcinoma SCLC and nonsmallcell lung carcinoma NSCLC The most common symptoms are coughing including coughing up blood weight loss shortness of breath and chest pains
22,31_3,MARCO_3962524,3,0.5705254673957825,MARCO_3962524,Lung cancer also known as lung carcinoma is a malignant lung tumor characterized by uncontrolled cell growth in tissues of the lung If left untreated this growth can spread beyond the lung by the process of metastasis into nearby tissue or other parts of the body
23,31_3,MARCO_7471770,4,0.5697051882743835,MARCO_7471770,Lung cancer also known as carcinoma of the lung or pulmonary carcinoma is a malignant lung tumor characterized by uncontrolled cell growth in tissues of the lung If left untreated this growth can spread beyond the lung by process of metastasis into nearby tissue or other parts of the body
24,31_3,MARCO_2002915,5,0.5639607310295105,MARCO_2002915,Lung cancer is a malignant tumour that starts in the cells of the lung Malignant means that it can spread or metastasize to other parts of the body When cancer starts in lung cells it is called primary lung cancer The lung is part of the respiratory system You use your lungs when you breathe
25,31_3,MARCO_4888192,6,0.5608190298080444,MARCO_4888192,What is Lung Cancer Lung cancer is the uncontrolled growth of abnormal cells that start off in one or both lungs usually in the cells that line the air passages The abnormal cells do not develop into healthy lung tissue they divide rapidly and form tumors
26,31_3,MARCO_4108052,7,0.5543676614761353,MARCO_4108052,Lung cancer is a type of cancer that begins in the lungs Your lungs are two spongy organs in your chest that take in oxygen when you inhale and release carbon dioxide when you exhale Lung cancer is the leading cause of cancer deaths in the United States among both men and women Lung cancer claims more lives each year than do colon prostate ovarian and breast cancers combined People who smoke have the greatest risk of lung cancer
27,31_3,MARCO_5345221,8,0.5540257096290588,MARCO_5345221,Lung cancer is a disease in which abnormal malignant lung cells multiply and grow without control These cancerous cells can invade nearby tissues spread to other parts of the body or both The two major kinds of lung cancer are named for the way the cells look under a microscope They are
28,31_3,MARCO_1826633,9,0.5491620302200317,MARCO_1826633,Lung cancer is a disease in which abnormal malignant lung cells multiply and grow without control These cancerous cells can invade nearby tissues spread to other parts of the body or both The two major kinds of lung cancer are named for the way the cells look under a microscopeThey are 1 Small cell lung cancer A sample of mucus that you cough up is studied to see if it has cancer cells in it 2 Bronchoscopy 3 Doctors pass a special tube called a bronchoscope through the nose or mouth and down into the lungs 4 They can see into the lungs and remove small bits of tissue to test
29,31_3,MARCO_5345222,10,0.5484169721603394,MARCO_5345222,Lung cancer is a disease in which abnormal malignant lung cells multiply and grow without control These cancerous cells can invade nearby tissues spread to other parts of the body or both The two major kinds of lung cancer are named for the way the cells look under a microscope Small cell lung cancer
30,31_4,MARCO_1801310,1,0.8173072338104248,MARCO_1801310,The most common symptoms of lung cancer are 1 A cough that does not go away or gets worse 2 Chest pain that is often worse with deep breathing coughing or laughing 3 Hoarseness 4 Weight loss and loss of appetite
31,31_4,MARCO_1801311,2,0.8170111775398254,MARCO_1801311,The most common symptoms of lung cancer are 1 A cough that does not go away or gets worse 2 Chest pain that is often worse with deep breathing coughing or laughing 3 Hoarseness 4 Weight loss and loss of appetite 5 Coughing up blood or rustcolored sputum spit or phlegm
32,31_4,MARCO_217417,3,0.8156387805938721,MARCO_217417,The most common symptoms of lung cancer are 1 A cough that does not go away or gets worse 2 Coughing up blood or rustcolored sputum spit or phlegm 3 Chest pain that is often worse with deep breathing coughing or laughing 4 Hoarseness Weight loss and loss of appetite Shortness of 1 breath Feeling tired or weak
33,31_4,MARCO_7225920,4,0.81435227394104,MARCO_7225920,The most common lung cancer symptoms include 1 Appetite loss 2 Fatigue 3 Weight loss 4 A persistent cough 5 A change in a long standing cough 6 Breathlessness or shortness of breath 7 Coughing up blood phlegm with blood in it 8 Aches or pains when breathing or coughing 9 Persistent chest infections that donat respond
34,31_4,MARCO_5032908,5,0.8085997104644775,MARCO_5032908,The most common lung cancer symptoms include 1 Appetite loss 2 Fatigue 3 Weight loss A persistent 1 cough A change in a long standing cough Breathlessness or shortness of 1 breath Coughing up blood phlegm with blood 2 in it Aches or pains when breathing or coughing Persistent chest infections that donat respond
35,31_4,MARCO_217416,6,0.8061357736587524,MARCO_217416,Common symptoms of lung cancer include 1 A cough that doesnt go away and gets worse over time 2 Constant chest pain 3 Coughing up blood Shortness of breath wheezing or 1 hoarseness Repeated problems with pneumonia or bronchitis Swelling of the neck and 1 face Loss of appetite or weight 2 loss Fatigue
36,31_4,MARCO_1916598,7,0.8025626540184021,MARCO_1916598,Signs and symptoms of lung cancer may include 1 A new cough that doesnt go away 2 Changes in a chronic cough or smokers cough 3 Coughing up blood even a small amount Shortness of 1 breath Chest pain 2 Wheezing Hoarseness Losing weight without 1 trying Bone pain Headache
37,31_4,MARCO_1916591,8,0.8012815117835999,MARCO_1916591,Signs and symptoms of lung cancer typically occur only when the disease is advanced Signs and symptoms of lung cancer may include A new cough that doesnt go away Changes in a chronic cough or smokers cough Coughing up blood even a small amount Shortness of breath Chest pain
38,31_4,MARCO_7513923,9,0.7988907694816589,MARCO_7513923,Signs and symptoms of lung cancer typically occur only when the disease is advanced Signs and symptoms of lung cancer may include A new cough that doesnt go away Coughing up blood even a small amount Shortness of breath Chest pain Hoarseness Losing weight without trying Bone pain Headache When to see a doctor Make an appointment with your doctor if you have any persistent signs or symptoms that worry you
39,31_4,MARCO_217419,10,0.7986335158348083,MARCO_217419,Common symptoms of lung cancer include A cough that doesnt go away and gets worse over time Constant chest pain Coughing up blood Shortness of breath wheezing or hoarseness Repeated problems with pneumonia or bronchitis Swelling of the neck and face Loss of appetite or weight loss
40,31_5,CAR_d37891cd657001a45ae65a1864b6af96a9b4543c,1,0.6749777793884277,CAR_d37891cd657001a45ae65a1864b6af96a9b4543c, In the cases of some throat cancers the air passages in the mouth and behind the nose may become blocked from lumps or the swelling from the open sores If the throat cancer is near the bottom of the throat it has a high likelihood of spreading to the lungs and interfering with the persons ability to breathe this is even more likely if the patient is a smoker because they are highly susceptible to lung cancer
41,31_5,MARCO_6807483,2,0.6318369507789612,MARCO_6807483,Laryngeal cancer may spread by direct extension to adjacent structures by metastasis to regional cervical lymph nodes or more distantly through the blood stream Distant metastases to the lung are most commonIn 2013 it resulted in 88000 deaths up from 76000 deaths in 1990ancer can develop in any part of the larynx but the cure rate is affected by the location of the tumour
42,31_5,MARCO_6914822,3,0.6211315989494324,MARCO_6914822,In fact some people diagnosed with throat cancer are diagnosed with esophageal lung or bladder cancer at the same time This is typically because cancers often have the same risk factors or because cancer that begins in one part of the body can spread throughout the body in time
43,31_5,MARCO_7889553,4,0.6187435388565063,MARCO_7889553,Most lung cancers first spread to lymph nodes in the chest near the tumor As cancer progresses cancer cells can travel to areas in the chest further from the initial tumor and then on to other regions of the body
44,31_5,CAR_8b9b1d6f96391173a64881550758d225c148901b,5,0.6115277409553528,CAR_8b9b1d6f96391173a64881550758d225c148901b, Laryngeal cancer may spread by direct extension to adjacent structures by metastasis to regional cervical lymph nodes or more distantly through the blood stream Distant metastases to the lung are most common In 2013 it resulted in 88000 deaths up from 76000 deaths in 1990 Five year survival rates in the United States are 60
45,31_5,MARCO_7150693,6,0.6112764477729797,MARCO_7150693,Most of the time the spread of lung cancer to the lymph nodes doesnat cause any symptoms When these cancers extend to lymph nodes beyond the lungs you may notice a lump in your neck or your armpit similar but usually firmer to the swollen glands you may have had in the past with a sore throat
46,31_5,MARCO_2585712,7,0.6092406511306763,MARCO_2585712,Lung cancer can spread to nearly any region of the body but the most common areas are the lymph nodes liver bones brain and adrenal glands Lets take a look at each of these areas separately Most lung cancers first spread to lymph nodes in the chest near the tumor As cancer progresses cancer cells can travel to areas in the chest further from the initial tumor and then on to other regions of the body
47,31_5,MARCO_7150699,8,0.6067553162574768,MARCO_7150699,Lung cancers can spread when cells break off from the tumor and travel through the bloodstream or the lymphatics vessels in the body through which lymph and white blood cells travel to distant regions of the body and grow 1 This process is called metastasis
48,31_5,CAR_441a00ebea533a5205e0a65c534f5d84a1ecb38a,9,0.6052910685539246,CAR_441a00ebea533a5205e0a65c534f5d84a1ecb38a, Lung cancer typically spreads to the lymph nodes in the mediastinum
49,31_5,MARCO_7394970,10,0.6030910015106201,MARCO_7394970,1 Cancers of the mouth and throat do not always metastasize but those that do usually spread first to the lymph nodes of the neck 2 From there they may spread to more distant parts of the body
50,31_6,MARCO_2231504,1,0.7965233325958252,MARCO_2231504,Causes of throat cancer The exact cause of throat cancer is not clear However certain risk factors lead to an increased risk of throat cancer such as cigarette smoking human papillomavirus HPV infection and exposure to toxic substances like asbestos or large quantities of alcohol
51,31_6,MARCO_1905581,2,0.7525544166564941,MARCO_1905581,Throat cancer occurs when cells in your throat develop genetic mutations These mutations cause cells to grow uncontrollably and continue living after healthy cells would normally die The accumulating cells can form a tumor in your throat Its not clear what causes the mutation that causes throat cancer But doctors have identified factors that may increase your risk
52,31_6,MARCO_7017764,3,0.7510188817977905,MARCO_7017764,One of the top causes of throat cancer is smoking Smoking and chewing tobacco products is the number one culprit Drinking too much alcohol can also play its part A diet lacking in fruits and vegetables and human papilloma virus also have tendencies to promote the development of cancer in your throat
53,31_6,MARCO_3705887,4,0.7495109438896179,MARCO_3705887,Throat cancer occurs when cells in your throat develop genetic mutations These mutations cause cells to grow uncontrollably and continue living after healthy cells would normally die The accumulating cells can form a tumor in your throat Its not clear what causes the mutation that causes throat cancer
54,31_6,MARCO_2925873,5,0.698952317237854,MARCO_2925873,Throat anatomy Throat cancer occurs when cells in your throat develop genetic mutations These mutations cause cells to grow uncontrollably and continue living after healthy cells would normally die The accumulating cells can form a tumor in your throatIts not clear what causes the mutation that causes throat cancer Hypopharyngeal cancer laryngopharyngeal cancer begins in the hypopharynx laryngopharynx a the lower part of your throat just above your esophagus and windpipe
55,31_6,MARCO_2231507,6,0.674339771270752,MARCO_2231507,Men are at greater risk to throat cancer as smoking and alcohol intake are factors that trigger this kind of cancer However people with severe or chronic acid reflux are at risk of throat cancer as well The cause of throat cancer is the cell mutations within oneas throat
56,31_6,MARCO_5990560,7,0.6637691259384155,MARCO_5990560,Throat or larynx cancer Throat cancer is cancer of the vocal cords larynx voice box or other areas of the throat People who smoke or use tobacco are at risk of developing throat cancer Drinking too much alcohol over a long time also increases risk Smoking and drinking alcohol combined lead to an increased risk for throat cancer Most throat cancers develop in adults older than 50
57,31_6,MARCO_1373522,8,0.6612200140953064,MARCO_1373522,Throat or larynx cancer Throat cancer is cancer of the vocal cords larynx voice box or other areas of the throat People who smoke or use tobacco are at risk of developing throat cancer Drinking too much alcohol over a long time also increases risk Smoking and drinking alcohol combined lead to an increased risk for throat cancer Most throat cancers develop in adults older than 50 Men are more likely than women to develop throat cancer
58,31_6,MARCO_3990603,9,0.6589335203170776,MARCO_3990603,Throat or larynx cancer Throat cancer is cancer of the vocal cords larynx voice box or other areas of the throat People who smoke or use tobacco are at risk of developing throat cancer Drinking too much alcohol over a long time also increases risk Smoking and drinking alcohol combined lead to an increased risk for throat cancer
59,31_6,CAR_86bbbf7cc2b28ac642d666ff09dbbe85d047924d,10,0.6569986343383789,CAR_86bbbf7cc2b28ac642d666ff09dbbe85d047924d, There are a wide variety of factors which can put someone at a heightened risk for throat cancer Such factors include smoking or chewing tobacco or other things such as gutkha or paan heavy alcohol consumption poor diet resulting in vitamin deficiencies worse if this is caused by heavy alcohol intake weakened immune system asbestos exposure prolonged exposure to wood dust or paint fumes exposure to petroleum industry chemicals and being over the age of 55 years Another risk factor includes the appearance of white patches or spots in the mouth known as leukoplakia in about  of the cases this develops into cancer Other heightened risks breathing or inhaling silica from cutting concrete stone or cinderblocks especially in enclosed areas such as a warehouse garage or basement
60,31_7,MARCO_5625374,1,0.7629265189170837,MARCO_5625374,Identification The first signs of throat cancer vary considerably which makes the disease difficult to detect and diagnose in early stages The most commonly experienced early symptoms include a persistent sore throat a lump in the neck difficulty swallowing ear or neck pain and a change in voice
61,31_7,MARCO_4976187,2,0.7326679825782776,MARCO_4976187,It can be difficult to detect throat cancer in its early stages Common signs and symptoms of throat cancer include 1 a change in your voice 2 trouble swallowing 3 weight loss 4 sore throat 5 persistent cough may cough up blood 6 swollen lymph nodes in the neckhese abnormal cells form malignant growths called tumors Throat cancer refers to cancer of the voice box the vocal cords and other parts of the throat such as the tonsils and the oropharynx Raise money to cover your cancer treatment costs
62,31_7,MARCO_7017761,3,0.7217473983764648,MARCO_7017761,Change in voice is often the first sign of throat cancer since the vocal cords are often the first part of the throat that cancer will develop within This process usually happens quite slowly and gets worse with time hence why it is so important to catch it early
63,31_7,MARCO_6914820,4,0.7184935808181763,MARCO_6914820,It can be difficult to detect throat cancer in its early stages Common signs and symptoms of throat cancer include a change in your voice trouble swallowing dysphagia weight loss sore throat constant need to clear your throat persistent cough may cough up blood swollen lymph nodes in the neck wheezing ear pain hoarseness
64,31_7,MARCO_7035861,5,0.7046412825584412,MARCO_7035861,It can be difficult to detect throat cancer in its early stages Common signs and symptoms of throat cancer include 1 a change in your voice 2 trouble swallowing 3 weight loss 4 sore throat 5 persistent cough may cough up blood 6 swollen lymph nodes in the neck7 wheezing8 ear pain 9 hoarsenesst can be difficult to detect throat cancer in its early stages Common signs and symptoms of throat cancer include 1 a change in your voice 2 trouble swallowing 3 weight loss 4 sore throat 5 persistent cough may cough up blood 6 swollen lymph nodes in the neck
65,31_7,MARCO_7035860,6,0.7003472447395325,MARCO_7035860,Common signs and symptoms of throat cancer include 1 a change in your voice 2 trouble swallowing 3 weight loss 4 sore throat5 persistent cough may cough up blood6 swollen lymph nodes in the neck 7 wheezing8 ear pain 9 hoarsenesst can be difficult to detect throat cancer in its early stages Common signs and symptoms of throat cancer include 1 a change in your voice 2 trouble swallowing 3 weight loss 4 sore throat 5 persistent cough may cough up blood 6 swollen lymph nodes in the neck
66,31_7,MARCO_2715454,7,0.6999494433403015,MARCO_2715454,Signs and symptoms of throat cancer may include 1 A cough 2 Changes in your voice such as hoarseness or not speaking clearly 3 Difficulty swallowing 4 Ear pain 5 A lump or sore that doesnt heal 6 A sore throat 7 Weight loss
67,31_7,MARCO_7035854,8,0.6775718927383423,MARCO_7035854,Signs and symptoms of throat cancer may include 1 A cough 2 Changes in your voice such as hoarseness or not speaking clearly 3 Difficulty swallowing4 Ear pain 5 A lump or sore that doesnt heal 6 A sore throat 7 Weight lossigns and symptoms of throat cancer may include 1 A cough 2 Changes in your voice such as hoarseness or not speaking clearly 3 Difficulty swallowing 4 Ear pain 5 A lump or sore that doesnt heal 6 A sore throat
68,31_7,MARCO_5625372,9,0.658810555934906,MARCO_5625372,Throat cancer is a significant health threat but both patients and doctors easily overlook the first signs of throat cancer
69,31_7,MARCO_7069065,10,0.6552237868309021,MARCO_7069065,Throat cancer symptoms and signs include hoarseness a lump in the neck sore throat cough problems breathing bad breath earache and weight loss Learn about the causes of throat cancer including smoking and excess alcohol consumption Read about throat cancer treatment types survival rates and prognosis
70,31_8,MARCO_6914822,1,0.7225622534751892,MARCO_6914822,In fact some people diagnosed with throat cancer are diagnosed with esophageal lung or bladder cancer at the same time This is typically because cancers often have the same risk factors or because cancer that begins in one part of the body can spread throughout the body in time
71,31_8,MARCO_5295408,2,0.6885226964950562,MARCO_5295408,For this article the terms throat cancer and larynx cancer will be interchangeable The term laryngeal cancer is also used to refer to larynx cancer Some investigators consider throat cancers a subset of esophageal cancers For this article only throat cancers will be discussed
72,31_8,MARCO_6266470,3,0.6348003149032593,MARCO_6266470,Esophageal cancer or oesophageal cancer is cancer arising from the esophagus athe food pipe that runs between the throat and the stomach
73,31_8,MARCO_291003,4,0.6288806796073914,MARCO_291003,Throat cancer is a type of head and neck cancer Throat cancer has different names depending on what part of the throat is affected The different parts of the throat are called the oropharynx the hypopharynx and the nasopharynx Sometimes the larynx or voice box is also included The main risk factors for throat cancer are smoking or using smokeless tobacco and use of alcohol Treatments include surgery radiation therapy and chemotherapy
74,31_8,CAR_75ae01bf935cbce82b870801f0d18205873703f9,5,0.6207387447357178,CAR_75ae01bf935cbce82b870801f0d18205873703f9, Esophageal cancers are typically carcinomas that arise from the epithelium or surface lining of the esophagus Most esophageal cancers fall into one of two classes esophageal squamouscell carcinomas ESCC which are similar to head and neck cancer in their appearance and association with tobacco and alcohol consumptionand esophageal adenocarcinomas EAC which are often associated with a history of GERD and Barretts esophagus A rule of thumb is that a cancer in the upper twothirds is likely to be ESCC and one in the lower onethird EAC
75,31_8,MARCO_1080935,6,0.6171979904174805,MARCO_1080935,People who have had certain other cancers such as lung cancer mouth cancer and throat cancer have a high risk of getting squamous cell carcinoma of the esophagus as well This may be because these cancers can also be caused by smoking
76,31_8,MARCO_2141294,7,0.6166597604751587,MARCO_2141294,Sore throat is not a It is not a common symptom of cancer of the esophagus because by definition throat is a part of the pharynxEsophagus begins further down where the boundary of throat finishes Sore throat can be more severe on one side but it typically involves both sides especially if it is due to viruses like the cold virus
77,31_8,MARCO_2925879,8,0.6132329702377319,MARCO_2925879,Types of throat cancer Throat cancer is a general term that applies to cancer that develops in the throat pharyngeal cancer or in the voice box laryngeal cancer The throat and the voice box are closely connected with the voice box located just below the throat Hypopharyngeal cancer laryngopharyngeal cancer begins in the hypopharynx laryngopharynx a the lower part of your throat just above your esophagus and windpipe
78,31_8,MARCO_924434,9,0.6114341616630554,MARCO_924434,Esophageal cancer or oesophageal cancer is cancer arising from the esophagus athe food pipe that runs between the throat and the stomach Symptoms often include difficulty in swallowing and weight loss
79,31_8,MARCO_8758724,10,0.6107861399650574,MARCO_8758724,Esophageal cancer or oesophageal cancer is cancer arising from the esophagusathe food pipe that runs between the throat and the stomach Symptoms often include difficulty in swallowing and weight loss
80,31_9,CAR_5a7e6d698681de129203c1455dd67eec409ca84f,1,0.6849223375320435,CAR_5a7e6d698681de129203c1455dd67eec409ca84f, Esophageal cancer is cancer arising from the esophagusthe food pipe that runs between the throat and the stomach Symptoms often include difficulty in swallowing and weight loss Other symptoms may include pain when swallowing a hoarse voice enlarged lymph nodes glands around the collarbone a dry cough and possibly coughing up or vomiting blood
81,31_9,MARCO_191057,2,0.6648740172386169,MARCO_191057,Common throat cancer symptoms may include Difficulty swallowing also known as dysphagia Changes in your voice Sore throat Unexplainable weight loss Swelling of the eyes jaw throat or neck Bleeding in the mouth or through the nose
82,31_9,MARCO_8610845,3,0.6617825627326965,MARCO_8610845,Common throat cancer symptoms may include Difficulty swallowing also known as dysphagia Changes in your voice Sore throat Unexplainable weight loss Swelling of the eyes jaw throat or neck Bleeding in the mouth or through the nose Chronic cough
83,31_9,MARCO_8827860,4,0.6608531475067139,MARCO_8827860,One of the most common symptoms of esophageal cancer is difficulty swallowing also known as dysphagia Other common esophageal cancer symptoms may include 1 Reflux symptoms 2 Abdominal pain 3 Pain or burning in the throat or chest 4 Unexplained weight loss 5 Heartburn or indigestion 6 Vomiting
84,31_9,MARCO_4372471,5,0.6582794189453125,MARCO_4372471,Esophageal cancer is cancer arising from the esophagusathe food pipe that runs between the throat and the stomach Symptoms often include difficulty in swallowing and weight loss
85,31_9,MARCO_8827859,6,0.658057689666748,MARCO_8827859,One of the most common symptoms of esophageal cancer is difficulty swallowing also known as dysphagia Other common esophageal cancer symptoms may include 1 Reflux symptoms 2 Abdominal pain 3 Pain or burning in the throat or chest 4 Unexplained weight loss 5 Heartburn or indigestion 6 Vomiting 7 Chronic hiccups
86,31_9,MARCO_191052,7,0.6569797396659851,MARCO_191052,Common throat cancer symptoms may include 1 Difficulty swallowing also known as dysphagia 2 Changes in your voice 3 Sore throat Unexplainable weight 1 loss Swelling of the eyes jaw throat or neck Bleeding in the mouth or through the 1 nose Chronic cough
87,31_9,MARCO_8758724,8,0.652733325958252,MARCO_8758724,Esophageal cancer or oesophageal cancer is cancer arising from the esophagusathe food pipe that runs between the throat and the stomach Symptoms often include difficulty in swallowing and weight loss
88,31_9,MARCO_924434,9,0.6526683568954468,MARCO_924434,Esophageal cancer or oesophageal cancer is cancer arising from the esophagus athe food pipe that runs between the throat and the stomach Symptoms often include difficulty in swallowing and weight loss
89,31_9,MARCO_7035859,10,0.6502156853675842,MARCO_7035859,Throat cancer symptoms Common throat cancer symptoms may include 1 Difficulty swallowing also known as dysphagia 2 Changes in your voice 3 Sore throat 4 Unexplainable weight loss 5 Swelling of the eyes jaw throat or neck 6 Bleeding in the mouth or through the nose7 Chronic coughhroat cancer symptoms Common throat cancer symptoms may include 1 Difficulty swallowing also known as dysphagia 2 Changes in your voice 3 Sore throat 4 Unexplainable weight loss 5 Swelling of the eyes jaw throat or neck 6 Bleeding in the mouth or through the nose
90,32_1,MARCO_3855673,1,0.6919236183166504,MARCO_3855673,Some common kinds of shark include the hammerhead shark the great white shark the tiger shark and the mako shark
91,32_1,MARCO_941045,2,0.6759039163589478,MARCO_941045,There are 440 different species of sharks in the world today classified into eight different orders described below with some examples of known sharks species for each group
